superficie,chambres,salles_de_bain,etages,proximite_route_principale,chambre_amis,sous_sol,chauffage_eau_chaude,climatisation,places_parking,zone_preferee,statut_meublement
6241.0,4,2,2,1,0,0,0,1,1,0,2
8876.0,3,2,1,1,0,0,0,0,1,0,1
9860.0,3,1,1,1,0,0,0,0,0,0,1
6421.0,3,3,2,1,0,0,0,1,1,1,1
7800.0,3,2,2,1,0,0,0,0,0,1,1
5900.0,4,2,2,0,0,1,0,0,1,0,1
5880.0,3,1,1,1,0,0,0,0,1,0,0
4646.0,3,1,2,1,1,1,0,0,2,0,1
6500.0,3,2,3,1,0,0,0,1,0,0,0
5461.908505154639,3,1,1,1,0,0,0,0,0,0,1
4815.0,2,1,1,1,0,0,0,1,0,1,1
10269.0,3,1,1,1,0,0,0,0,1,1,1
4080.0,3,1,2,1,0,0,0,0,2,0,1
6600.0,3,1,1,1,1,1,0,0,0,1,2
2800.0,3,2,2,0,0,1,0,1,1,0,1
6930.0,4,1,2,0,0,0,0,0,1,0,2
6000.0,3,2,4,1,0,0,0,1,0,0,0
9800.0,4,2,2,1,1,0,0,0,2,0,1
5500.0,4,1,2,1,1,0,0,0,0,0,1
6450.0,3,2,1,1,1,1,1,0,0,0,0
4770.0,3,1,1,1,1,1,0,0,0,0,1
7800.0,3,3,2,1,0,0,0,0,0,1,1
3816.0,2,1,1,1,0,1,0,1,2,0,2
7475.0,3,1,4,1,0,0,0,1,2,0,0
3185.0,2,1,1,1,0,1,0,0,2,0,2
5400.0,4,1,2,1,0,0,0,0,0,0,1
7950.0,5,3,2,1,0,1,1,0,2,0,0
4800.0,3,1,4,1,1,0,0,1,0,0,2
3750.0,3,1,1,1,0,0,0,0,0,0,0
3120.0,3,1,2,0,0,1,1,0,0,0,1
3600.0,3,1,1,1,0,0,0,0,1,0,0
8050.0,3,2,1,1,1,1,0,1,1,0,2
4340.0,3,1,1,1,0,0,0,0,0,0,1
5400.0,2,1,2,1,0,0,0,0,0,1,1
3960.0,3,1,1,1,0,1,0,0,2,0,1
4000.0,3,1,2,1,0,1,0,1,0,1,1
4000.0,2,1,1,1,0,0,0,0,0,1,1
5400.0,4,2,2,1,0,0,0,1,2,0,0
10240.0,2,1,1,1,0,0,0,1,2,1,0
3520.0,3,1,1,1,0,0,0,0,2,1,0
5960.0,3,4,2,1,1,1,0,0,1,0,0
3970.0,3,1,2,1,0,1,0,0,0,0,0
4500.0,3,1,1,1,0,1,0,0,0,0,2
8250.0,3,1,1,1,0,1,0,0,3,0,1
4601.0,3,3,2,1,1,0,0,1,2,0,2
3630.0,4,1,2,1,0,0,0,0,3,0,1
3450.0,3,1,1,1,0,1,0,0,2,0,0
3180.0,3,1,1,0,0,0,0,0,0,0,0
5500.0,4,2,2,1,0,1,0,1,1,1,1
3640.0,2,1,1,1,0,0,0,0,0,0,2
4800.0,2,1,1,1,1,1,0,0,0,0,1
4601.0,3,2,2,1,1,0,0,1,2,0,2
8875.0,3,2,1,1,0,0,0,0,1,0,1
8800.0,3,2,2,1,0,0,0,1,2,0,2
6420.0,3,2,2,1,0,0,0,1,1,1,1
6825.0,3,1,1,1,1,1,0,1,0,1,1
7980.0,3,1,1,1,0,0,0,0,1,1,1
3180.0,3,2,2,1,0,0,0,0,2,0,1
6001.0,3,2,2,1,1,0,0,0,1,0,1
4900.0,2,1,2,1,0,1,0,0,0,0,1
6900.0,3,2,1,1,1,1,0,0,0,1,0
7155.0,3,3,1,1,1,1,0,1,2,0,0
3100.0,3,1,2,0,0,1,0,0,0,0,1
4000.0,2,1,1,1,0,0,0,0,0,0,0
7085.0,3,1,1,1,1,1,0,0,2,1,1
4080.0,3,1,2,1,0,0,0,0,2,0,1
3630.0,3,3,2,0,1,0,0,0,0,0,0
5461.908505154639,3,1,1,1,0,0,0,0,2,0,2
3960.0,3,1,1,1,0,0,0,0,0,0,2
7600.0,4,1,2,1,0,0,0,1,2,0,2
6240.0,4,2,2,1,0,0,0,1,1,0,2
6841.0,5,1,2,1,1,1,0,1,1,0,2
4040.0,2,1,1,1,0,0,0,0,1,0,0
3410.0,3,1,2,0,0,0,0,1,0,0,1
2550.0,3,1,2,1,0,1,0,0,0,0,2
5985.0,3,1,1,1,0,1,0,0,0,0,1
5960.0,3,1,2,1,1,1,0,0,0,0,0
7686.0,3,1,1,1,1,1,1,0,0,0,1
5800.0,3,2,4,1,0,0,0,1,0,0,0
7156.0,3,3,1,1,1,1,0,1,2,0,0
4800.0,3,1,3,1,0,0,0,1,0,0,0
9000.0,4,3,4,1,0,0,0,1,2,0,2
3040.0,2,1,1,0,0,0,0,0,0,0,0
6540.0,4,2,2,1,1,1,0,1,2,1,2
4500.0,3,1,2,1,0,0,0,1,0,0,0
7160.0,3,1,1,1,0,1,0,0,2,1,0
4040.0,3,1,2,1,0,0,0,0,1,0,1
4632.0,4,1,2,1,0,0,0,1,0,0,1
3630.0,2,1,1,1,0,0,0,1,0,0,0
6001.0,4,4,2,1,1,1,1,0,2,0,1
5461.908505154639,3,2,3,1,0,0,0,1,0,0,1
2650.0,3,1,2,1,0,1,0,0,1,0,0
3792.0,4,1,2,1,0,0,0,0,0,0,1
8500.0,3,3,4,1,0,0,0,1,2,0,2
5500.0,4,3,2,1,0,1,0,1,1,1,1
7951.0,5,2,2,1,0,1,1,0,2,0,0
7001.0,3,3,4,1,0,0,0,1,2,0,2
5200.0,4,1,3,1,0,0,0,0,0,0,0
7152.0,3,1,2,1,0,0,0,1,0,0,2
3000.0,2,1,1,0,0,0,0,0,0,0,0
4160.0,3,1,1,1,1,1,0,1,0,0,0
4800.0,3,1,1,1,1,1,0,0,0,0,0
6325.0,3,1,4,1,0,0,0,1,1,0,0
4950.0,4,1,2,1,0,0,0,1,0,0,1
8250.0,3,1,1,1,0,0,0,0,0,0,2
6001.0,3,1,2,1,0,0,0,1,1,0,0
7001.0,3,2,4,1,0,0,0,1,2,0,2
4770.0,3,1,2,1,1,1,0,0,0,0,1
3000.0,2,1,2,1,0,0,0,0,0,0,2
6601.0,4,3,2,1,1,1,0,1,1,1,0
5750.0,3,2,4,1,1,0,0,1,1,1,0
7440.0,3,2,1,1,1,1,0,1,0,1,1
4775.0,4,1,2,1,0,0,0,0,0,0,0
5151.0,3,2,4,1,0,0,0,1,2,0,1
7440.0,3,2,4,1,0,0,0,0,1,1,0
6600.0,4,3,2,1,1,1,0,1,1,1,0
6000.0,4,2,2,1,0,1,0,0,2,0,1
3000.0,4,1,3,1,0,1,0,1,2,0,1
7155.0,3,1,2,1,1,1,0,1,2,0,0
4900.0,3,1,2,0,0,0,0,0,0,0,0
4561.0,3,2,2,1,1,1,0,1,1,0,2
4040.0,2,1,1,1,0,0,0,0,0,0,1
4360.0,4,1,2,1,0,0,0,0,0,0,2
2520.0,5,2,1,0,0,1,0,1,1,0,2
6480.0,3,1,2,0,0,0,0,1,1,0,1
5900.0,2,1,1,1,0,0,0,0,1,0,2
4301.0,3,2,2,1,0,1,0,0,1,0,0
6600.0,3,1,1,1,1,1,0,0,2,1,1
4130.0,3,2,2,1,0,0,0,0,2,0,1
3185.0,2,1,1,1,0,0,0,0,2,0,0
3400.0,3,1,2,1,0,1,0,0,2,1,1
6001.0,4,1,2,1,0,1,0,0,2,0,1
3150.0,2,2,1,0,0,1,0,0,0,0,1
4095.0,3,1,2,0,1,1,0,1,0,0,1
4960.0,2,1,1,1,0,1,0,1,0,0,0
8400.0,2,1,1,1,0,0,0,0,0,0,1
4000.0,3,1,2,1,0,0,0,0,1,0,2
6420.0,3,2,3,1,0,0,0,1,0,1,2
7700.0,3,2,1,1,0,0,0,0,2,0,0
8400.0,3,1,2,1,1,1,0,1,2,1,0
6601.0,3,1,4,1,0,0,0,1,3,1,2
4640.0,3,1,2,1,0,0,0,0,1,0,1
4400.0,2,1,1,1,0,0,0,0,1,0,1
6254.0,4,2,1,1,0,0,0,0,1,1,1
3800.0,2,1,1,1,0,0,0,0,0,0,0
8880.0,3,2,2,1,0,1,0,1,1,0,2
6000.0,4,2,4,1,0,0,0,1,1,0,1
3180.0,2,2,1,1,0,1,0,0,2,0,1
3180.0,3,1,2,0,0,1,0,0,0,0,1
6060.0,2,1,1,1,0,1,0,0,1,0,1
5500.0,3,2,4,1,1,0,0,1,1,0,1
6000.0,4,2,4,1,0,0,0,1,1,0,2
4120.0,2,1,1,1,0,1,0,0,1,0,1
7020.0,3,1,1,1,0,1,0,1,0,1,1
3150.0,3,1,2,1,0,1,0,0,0,0,2
6360.0,4,2,3,1,0,0,0,1,2,1,2
3000.0,2,1,1,1,0,0,0,0,1,0,0
7200.0,3,1,2,1,1,1,0,0,1,1,2
2910.0,2,1,1,0,0,0,0,0,0,0,0
2325.0,3,1,2,0,0,0,0,0,0,0,1
4500.0,3,2,2,0,0,1,0,1,0,0,1
8881.0,2,1,1,1,0,0,0,1,1,0,1
4000.0,2,1,1,1,0,0,0,0,0,0,0
6300.0,3,1,1,1,0,0,0,1,0,0,1
6480.0,3,2,4,1,0,0,0,1,2,0,0
4560.0,3,3,2,1,1,1,0,1,1,0,2
3630.0,3,3,2,1,1,0,0,0,0,0,0
6862.0,3,1,2,1,0,0,0,1,2,1,2
6000.0,2,1,1,1,0,0,0,0,0,0,1
5170.0,3,1,4,1,0,0,0,1,0,0,1
5461.908505154639,2,1,1,1,0,0,0,0,0,0,0
6000.0,3,2,2,1,1,0,0,0,1,0,1
2430.0,3,1,1,0,0,0,0,0,0,0,0
4000.0,3,1,2,1,0,0,0,0,1,0,0
3649.0,2,1,1,1,0,0,0,0,0,0,0
7700.0,2,1,1,1,0,0,0,0,0,0,0
3850.0,3,1,2,1,0,0,0,0,0,0,0
5461.908505154639,4,2,2,0,0,0,0,1,0,0,1
4000.0,3,1,1,1,0,0,0,0,0,0,1
5450.0,4,2,1,1,0,1,0,1,0,1,1
4700.0,4,1,2,1,1,1,0,1,1,0,2
6930.0,4,1,2,0,0,0,0,0,1,0,2
3180.0,2,2,1,1,0,1,0,0,2,0,1
4260.0,4,1,2,1,0,1,0,1,0,0,2
4352.0,4,1,2,0,0,0,0,0,1,0,0
6100.0,3,1,3,1,1,0,0,1,0,1,1
3970.0,3,1,2,1,0,1,0,0,0,0,0
3264.0,3,1,1,1,0,0,0,0,0,0,0
7476.0,3,2,4,1,0,0,0,1,2,0,0
6750.0,2,1,1,1,1,1,0,0,2,1,2
3060.0,3,1,1,1,0,0,0,0,0,0,0
3850.0,2,1,1,1,0,0,0,0,0,0,1
6001.0,4,2,2,1,0,1,0,0,2,0,1
3264.0,2,1,1,1,0,0,0,0,0,0,0
4500.0,2,1,1,0,0,0,0,0,0,0,1
3660.0,3,1,2,0,0,0,0,0,0,0,0
7800.0,3,1,1,1,0,1,0,1,2,1,0
3745.0,3,1,2,1,0,1,0,0,0,0,2
5150.0,3,2,4,1,0,0,0,1,2,0,1
8500.0,3,2,4,1,0,0,0,1,2,0,2
5900.0,4,2,2,0,0,1,0,0,1,0,0
8372.0,3,1,3,1,0,0,0,1,2,0,0
8250.0,3,2,3,1,0,0,0,1,0,0,2
3630.0,3,2,2,1,0,0,1,0,2,0,1
6360.0,3,1,3,1,0,0,0,0,0,1,1
3480.0,4,1,2,0,0,0,0,0,1,0,1
3500.0,2,1,1,0,0,1,0,0,0,0,1
6000.0,4,1,3,1,1,1,0,0,0,1,0
5948.0,3,1,2,1,0,0,0,1,0,0,1
4400.0,2,1,1,1,0,0,0,0,1,0,1
3090.0,3,1,2,0,0,0,0,0,0,0,1
7770.0,2,1,1,1,0,0,0,0,1,0,2
3300.0,3,1,2,0,0,0,0,0,1,0,1
8000.0,3,1,1,1,1,1,0,1,2,1,1
4500.0,2,1,1,0,0,0,0,0,0,0,2
6600.0,3,2,2,1,1,1,0,1,1,1,0
8080.0,3,1,1,1,0,0,0,1,2,0,1
6361.0,3,2,4,1,0,0,0,1,0,1,2
6001.0,4,2,4,1,1,0,0,1,1,0,2
3510.0,3,1,2,1,0,0,0,0,0,0,1
5501.0,4,2,2,1,0,1,0,1,1,1,1
7483.0,3,2,3,1,0,0,1,0,1,1,2
4000.0,3,1,2,1,0,0,0,1,0,0,0
6001.0,3,2,4,1,1,0,0,1,1,0,2
3635.0,2,1,1,0,0,0,0,0,0,0,0
6100.0,3,1,1,1,0,1,0,1,0,1,1
4350.0,3,1,2,0,0,0,1,0,1,0,0
10500.0,2,1,1,1,0,0,0,0,1,0,1
7350.0,2,1,1,1,0,0,0,0,1,0,1
6001.0,3,2,4,1,0,0,0,1,1,0,2
6540.0,4,3,2,1,1,1,0,1,2,1,2
4240.0,3,1,2,1,0,0,0,1,0,0,1
2747.0,4,2,2,0,0,0,0,0,0,0,1
8050.0,2,1,1,1,0,0,0,0,0,0,0
2684.0,2,1,1,1,0,0,0,1,1,0,0
3520.0,2,1,2,1,0,0,0,0,0,1,2
7500.0,3,3,1,1,0,1,0,1,2,1,1
4840.0,2,1,2,1,0,0,0,0,0,0,0
4100.0,3,2,3,1,0,0,0,1,2,0,1
3180.0,3,1,1,0,0,0,0,0,0,0,0
4600.0,3,2,2,1,0,0,0,1,1,0,1
5500.0,3,2,2,1,0,0,0,0,1,0,1
3850.0,3,1,1,1,0,0,0,0,2,0,0
6600.0,4,2,1,1,0,1,0,0,0,1,1
3180.0,4,2,2,1,0,0,0,0,0,0,2
5461.908505154639,4,1,4,1,1,0,0,1,1,0,2
5960.0,3,3,2,1,1,1,0,0,1,0,0
5961.0,3,3,2,1,1,1,0,0,1,0,0
8520.0,3,1,1,1,0,0,0,1,2,0,2
3000.0,3,1,2,1,0,1,0,1,0,0,1
7951.0,5,3,2,1,0,1,1,0,2,0,0
7020.0,3,1,1,1,0,1,0,1,2,1,1
4100.0,4,1,1,0,0,1,0,0,0,0,0
4095.0,2,1,1,1,0,0,0,0,2,0,1
9000.0,3,1,2,1,0,0,0,0,2,0,1
7951.0,5,3,2,1,0,1,1,0,0,0,0
4600.0,4,1,2,1,0,0,0,0,0,0,1
6551.0,4,3,2,1,0,0,0,1,1,1,1
5020.0,3,1,4,1,0,0,0,1,0,1,0
3880.0,3,2,2,1,0,1,0,0,2,0,1
4080.0,2,1,1,1,0,0,0,0,0,0,1
3990.0,3,1,2,1,0,0,0,0,0,0,1
3180.0,4,1,2,1,0,1,0,1,0,0,0
6420.0,3,2,3,1,0,0,0,1,0,1,1
6440.0,2,1,1,1,0,0,0,1,3,0,1
3970.0,1,1,1,0,0,0,0,0,0,0,0
5000.0,3,1,3,1,0,0,0,1,0,0,1
7320.0,4,2,2,1,0,0,0,0,0,0,2
6001.0,3,2,3,1,0,0,0,1,0,0,1
6900.0,3,2,1,1,1,1,0,0,0,1,0
7440.0,3,2,4,1,0,0,0,0,1,0,0
4350.0,2,1,1,1,0,1,0,0,0,0,0
6000.0,4,2,4,1,0,0,0,0,2,0,1
3640.0,3,1,2,1,0,0,0,1,0,0,2
6050.0,3,1,1,1,0,1,0,0,0,1,1
2400.0,3,1,2,1,0,0,0,0,0,0,0
6210.0,4,1,4,1,1,0,0,1,0,0,2
6000.0,3,2,4,1,0,0,0,1,0,0,1
3420.0,4,2,2,1,0,0,0,0,0,0,1
5850.0,2,1,1,1,1,1,0,0,2,0,1
7000.0,3,2,4,1,0,0,0,1,2,0,1
4820.0,3,1,2,1,0,0,0,0,0,0,1
4040.0,2,1,2,1,0,0,0,0,1,0,1
6541.0,4,2,2,1,1,1,0,1,2,1,2
5885.0,2,1,1,1,0,0,0,1,1,0,0
7441.0,3,2,1,1,1,1,0,1,0,1,1
5600.0,2,1,1,1,0,0,0,1,0,0,1
5600.0,3,1,1,1,0,0,0,1,0,0,1
5830.0,2,1,1,1,0,0,0,0,2,0,1
4000.0,2,1,1,1,0,0,0,0,0,0,0
